github.com/AlDanial/cloc v 1.98  T=6.66 s (290.3 files/s, 176581.8 lines/s)
-----------------------------------------------------------------------------------
Language                         files          blank        comment           code
-----------------------------------------------------------------------------------
C++                                570          52480          28086         271186
C                                   70          29004          88303         247620
C/C++ Header                       688          43987          59105         214635
Qt Linguist                          6              8              0          49033
Java                               135           5704           5103          34729
QML                                 43           2614           1563          11965
XML                                149            659            240           6898
Qt                                  22            103              0           5652
YAML                                29            630            328           3244
CMake                               25            526            368           2929
JavaScript                           5            553           1278           1736
CSS                                  4            504           1105            821
SVG                                157              0              0            707
Text                                 6             22              0            529
ProGuard                             1             22             26            397
JSON                                 4              9              0            132
Markdown                             3             45              1            129
Gradle                               1             61             64            125
Bourne Shell                         1             28            116            105
PowerShell                           3             29             43             76
Nix                                  1             15             93             72
DOS Batch                            2             21              2             70
TOML                                 1              9              2             56
Windows Resource File                1              4              0             25
HTML                                 1              1              1             21
Properties                           3             10             23             18
Bourne Again Shell                   1              3              4              9
make                                 1              3              0              6
-----------------------------------------------------------------------------------
SUM:                              1933         137054         185854         852925
-----------------------------------------------------------------------------------
